locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T13:00:00+00:00', 'local': '2023-01-03T20:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T14:00:00+00:00', 'local': '2023-01-03T21:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T15:00:00+00:00', 'local': '2023-01-03T22:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,36.0,"{'utc': '2023-01-03T16:00:00+00:00', 'local': '2023-01-03T23:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,36.0,"{'utc': '2023-01-03T17:00:00+00:00', 'local': '2023-01-04T00:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,35.0,"{'utc': '2023-01-03T18:00:00+00:00', 'local': '2023-01-04T01:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,34.0,"{'utc': '2023-01-03T19:00:00+00:00', 'local': '2023-01-04T02:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,34.0,"{'utc': '2023-01-03T20:00:00+00:00', 'local': '2023-01-04T03:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,33.0,"{'utc': '2023-01-03T21:00:00+00:00', 'local': '2023-01-04T04:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,33.0,"{'utc': '2023-01-03T22:00:00+00:00', 'local': '2023-01-04T05:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,32.0,"{'utc': '2023-01-03T23:00:00+00:00', 'local': '2023-01-04T06:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
